# Формат: ID|Имя|Описание|Антагонисты
# Антагонисты: id1,id2,id3
1|Поиск|Стратегия поиска решения проблемы|6,10,7,15
2|Восстановление|Пассивная стратегия сохранения ресурсов и "зализывания ран". Активируется при низком уровне Целостности или в отсутствие внешних стимулов.|10,6,15
6|Ступор|Непонимание, что делать - не делаем ничего.|1,2,7,8,9,10,11,12,13,14,15,16
7|Расслабление|Замедление всех процессов, спокойствие|1,6,8,11,12,13,15
8|Напряжение|Активация всех процессов, нервозность|6,7,10,14,15
9|Исследование|Активация исследования нового и не понятного|6,10,15
10|Лень|Апатия в благополучном или безысходном состоянии.|1,6,8,9,11,12,13,2
11|Страх|Осторожность при признаках опасной ситуации|6,7,10,14,15,17
12|Агрессия|Агрессивное поведение для признаков легкой добычи или защиты|6,7,10,14,15,17
13|Злость|Безжалостность в случае низкой оценки|6,7,10,14,15,17
14|Доброта|Альтруистическое поведение|6,8,11,12,13,15
15|Сон|Состояние сна. Освобождение стрессового состояния. Реконструкция необработанной информации|1,2,6,7,8,9,11,12,13,14
16|Игра|Игровое поведение - отработка опыта в облегченных ситуациях или при обучении|6
17|Эмпатия|Способность распознавать и реагировать на эмоциональные состояния других|11,12,13
18|Ожидание именования|Стиль цепочки КБ: несохранённый Part/Assembly требует именования|19
19|Именование выполнено|Стиль цепочки КБ: документ сохранён на диск|18,20
20|Ожидание материала|Стиль session-learned: деталь без назначенного материала|19,21
21|Материал назначен|Стиль session-learned: материал активной конфигурации задан|20
22|Проблемы с документацией|Показывает наличие проблем с документами, сопровождающими деталь/сборку|23
23|Нет проблем с документацией|Показывает отсутствие проблем с документами, сопровождающими деталь/сборку|22
24|Проблемы с реестром|Битые ссылки, нет чертежа или открытый документ вне реестра изделий|25
25|Реестр в порядке|Целостность реестра изделий в норме|24
